"id","tambonId","zipcodeId"
"319","130501","12140"
"320","130502","12140"
"321","130503","12140"
"322","130504","12140"
"323","130505","12140"
"324","130506","12140"
"325","130507","12140"
"326","130601","12130"
"327","130602","12150"
"328","130603","12150"
"329","130604","12150"
"330","130605","12150"
"331","130606","12150"
"332","130607","12150"
"333","130608","12150"
"334","130701","12160"
"335","130702","12160"
"336","130703","12160"
"337","130704","12160"
"338","130705","12160"
"339","130706","12160"
"340","130707","12160"
"341","130708","12160"
"342","130709","12160"
"343","130710","12160"
"344","130711","12160"
"345","140101","13000"
"346","140102","13000"
"347","140103","13000"
"348","140104","13000"
"349","140105","13000"
"350","140106","13000"
"351","140107","13000"
"352","140108","13000"
"353","140109","13000"
"354","140110","13000"
"355","140111","13000"
"356","140112","13000"
"357","140113","13000"
"358","140114","13000"
"359","140115","13000"
"360","140116","13000"
"361","140117","13000"
"362","140118","13000"
"363","140119","13000"
"364","140120","13000"
"365","140121","13000"
"366","140201","13130"
"367","140202","13130"
"368","140203","13130"
"369","140203","18270"
"370","140204","13130"
"371","140205","13130"
"372","140206","13130"
"373","140207","13130"
"374","140208","13130"
"375","140209","13130"
"376","140210","13130"
"377","140301","13260"
"378","140302","13260"
"379","140303","13260"
"380","140304","13260"
"381","140305","13260"
"382","140306","13260"
"383","140307","13260"
"384","140308","13260"
"385","140309","13260"
"386","140310","13260"
"387","140311","13260"
"388","140312","13260"
"389","140401","13190"
"390","140402","13190"
"391","140403","13190"
"392","140404","13190"
"393","140405","13190"
"394","140406","13190"
"395","140407","13190"
"396","140408","13190"
"397","140409","13190"
"398","140410","13190"
"399","140411","13190"
"400","140412","13190"
"401","140413","13190"
"402","140414","13190"
"403","140415","13190"
"404","140416","13190"
"405","140417","13190"
"406","140418","13190"
"407","140419","13290"
"408","140420","13290"
"409","140421","13290"
"410","140422","13290"
"411","140423","13190"
"412","140501","13250"
"413","140502","13250"
"414","140503","13250"
"415","140504","13250"
"416","140505","13250"
"417","140506","13250"
"418","140507","13250"
"419","140508","13250"
"420","140509","13250"
"421","140510","13250"
"422","140511","13250"
"423","140512","13250"
"424","140513","13250"
"425","140514","13250"
"426","140515","13250"
"427","140516","13250"
"428","140601","13160"
"429","140602","13180"
"430","140603","13160"
"431","140604","13160"
"432","140605","13160"
"433","140606","13160"
"434","140607","13160"
"435","140608","13160"
"436","140609","13160"
"437","140610","13160"
"438","140611","13160"
"439","140612","13160"
"440","140613","13160"
"441","140614","13160"
"442","140615","13160"
"443","140616","13170"
"444","140617","13160"
"445","140618","13160"
"446","140701","13220"
"447","140702","13220"
"448","140703","13220"
"449","140704","13220"
"450","140705","13220"
"451","140706","13220"
"452","140707","13220"
"453","140708","13220"
"454","140709","13220"
"455","140710","13220"
"456","140711","13220"
"457","140712","13220"
"458","140713","13220"
"459","140714","13220"
"460","140715","13220"
"461","140716","13220"
"462","140717","13220"
"463","140801","13120"
"464","140802","13120"
"465","140803","13120"
"466","140804","13120"
"467","140805","13120"
"468","140806","13120"
"469","140807","13280"
"470","140808","13280"
"471","140809","13120"
"472","140810","13280"
"473","140811","13120"
"474","140812","13280"
"475","140813","13280"
"476","140814","13120"
"477","140815","13120"
"478","140816","13120"
"479","140901","13140"
"480","140902","13140"
"481","140903","13140"
"482","140903","18250"
"483","140904","13140"
"484","140905","13140"
"485","140906","13140"
"486","140907","13140"
"487","140908","13140"
"488","141001","13230"
"489","141002","13230"
"490","141003","13230"
"491","141004","13230"
"492","141005","13230"
"493","141006","13230"
"494","141007","13230"
"495","141101","13170"
"496","141102","13170"
"497","141103","13170"
"498","141104","13170"
"499","141105","13170"
"500","141106","13170"
"501","141106","13180"
"502","141107","13170"
"503","141108","13170"
"504","141109","13170"
"505","141110","13170"
"506","141201","13110"
"507","141202","13110"
"508","141203","13110"
"509","141204","13110"
"510","141205","13110"
"511","141206","13110"
"512","141207","13110"
"513","141208","13110"
"514","141209","13110"
"515","141210","13110"
"516","141211","13110"
"517","141212","13110"
"518","141213","13110"
"519","141214","13110"
"520","141215","13110"
